date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:13:39	550/550	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:e430b8277bda53a084f8f1d1e68cf66f%22	https://lacheie.com/robots.txt		(from )
00:13:39	531175/531175	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:2a90fb44040ac46fae5c7a1726f51f16%22	https://lacheie.com/	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/index.html	(from )
00:13:40	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:6b989a971302b7ad3f2c85396850e0b8%22	https://lacheie.com/e.js	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/e.js	(from https://lacheie.com/)
00:13:40	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:2ad4a28eae859e1f1496e41535bf23fc%22	https://lacheie.com/gtm.js	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/gtm.js	(from https://lacheie.com/)
00:13:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2021:13:41%20GMT	http://lacheie.com/cdn/shop/files/La_93d2b30d-2977-477f-9e85-6d5d011e2b49.png?crop=center&height=32&v=1716584258&width=32	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/cdn/shop/files/La_93d2b30d-2977-477f-9e85-6d5d011e2b49.2311c.delayed	(from https://lacheie.com/)
00:13:40	172245/172245	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:4f141c35ac77614653f78fd1a3a0da29%22	https://lacheie.com/wpm/	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/wpm/index.html	(from https://lacheie.com/)
00:13:41	3197/3197	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Jun%202024%2008:15:00%20GMT	https://lacheie.com/cdn/shop/files/La_93d2b30d-2977-477f-9e85-6d5d011e2b49.png?crop=center&height=32&v=1716584258&width=32	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/cdn/shop/files/La_93d2b30d-2977-477f-9e85-6d5d011e2b49311c.png	(from https://lacheie.com/)
00:13:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2021:13:41%20GMT	http://lacheie.com/cdn/shop/t/2/assets/constants.js?v=58251544750838685771713257167	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/cdn/shop/t/2/assets/constantsc86d.js	(from https://lacheie.com/)
00:13:42	172245/172245	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:4f141c35ac77614653f78fd1a3a0da29%22	https://lacheie.com/heet/	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/heet/index.html	(from https://lacheie.com/)
00:13:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2021:13:43%20GMT	http://lacheie.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511713257168	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/cdn/shop/t/2/assets/pubsub0a5a.js	(from https://lacheie.com/)
00:13:42	195/195	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Jun%202024%2000:51:37%20GMT	https://lacheie.com/cdn/shop/t/2/assets/constants.js?v=58251544750838685771713257167	C:/Users/didas/OneDrive/Desktop/lacheie/lacheie.com/cdn/shop/t/2/assets/constantsc86d.js	(from https://lacheie.com/)
